symbol,open_time_ms,open,high,low,close,volume,close_time_ms,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
ETHUSDT,1768800000000,3200.63000000,3203.04000000,3198.19000000,3199.42000000,3256.15360000,1768800299999,10420854.78550200,16656,1941.95250000,6215043.65515600,0
ETHUSDT,1768800300000,3199.43000000,3201.92000000,3196.39000000,3201.56000000,2762.91790000,1768800599999,8838538.47725000,12282,1929.60890000,6172770.73378100,0
ETHUSDT,1768800600000,3201.56000000,3212.17000000,3197.85000000,3198.87000000,4888.87570000,1768800899999,15672757.99209700,22987,3017.83800000,9674838.02767000,0
ETHUSDT,1768800900000,3198.87000000,3201.73000000,3198.08000000,3200.43000000,1802.19320000,1768801199999,5766925.56803200,8795,1462.12250000,4678723.33608800,0
ETHUSDT,1768801200000,3200.42000000,3207.95000000,3199.65000000,3203.62000000,2594.13450000,1768801499999,8313560.37071300,12258,1740.99630000,5579380.85799000,0
ETHUSDT,1768801500000,3203.62000000,3205.93000000,3201.24000000,3202.91000000,1704.47720000,1768801799999,5461129.50821900,11352,1181.02080000,3784114.03280800,0
ETHUSDT,1768801800000,3202.90000000,3204.84000000,3201.59000000,3202.40000000,2289.72250000,1768802099999,7335035.05162200,9636,1430.40530000,4582216.01478100,0
ETHUSDT,1768802100000,3202.40000000,3204.83000000,3201.76000000,3203.05000000,1792.07600000,1768802399999,5740314.68550400,7141,1349.40510000,4322394.77258400,0
ETHUSDT,1768802400000,3203.06000000,3204.52000000,3201.27000000,3203.88000000,1431.70650000,1768802699999,4585935.33209300,9443,895.88120000,2869455.87873900,0
ETHUSDT,1768802700000,3203.88000000,3204.57000000,3198.00000000,3198.30000000,826.29080000,1768802999999,2645337.15355900,10434,181.72860000,581890.30489600,0
ETHUSDT,1768803000000,3198.29000000,3200.29000000,3195.68000000,3197.79000000,1258.75750000,1768803299999,4025179.11595500,14140,342.49100000,1095040.00295000,0
ETHUSDT,1768803300000,3197.80000000,3197.80000000,3187.88000000,3194.80000000,4753.50480000,1768803599999,15177072.23303400,25084,1777.00980000,5672730.01166600,0
ETHUSDT,1768803600000,3194.80000000,3198.23000000,3194.31000000,3194.47000000,900.31660000,1768803899999,2877511.38568600,9797,483.56970000,1545559.90799000,0
ETHUSDT,1768803900000,3194.47000000,3199.00000000,3194.47000000,3196.01000000,1052.25470000,1768804199999,3363739.54697400,9377,617.22540000,1973254.27842000,0
ETHUSDT,1768804200000,3196.00000000,3199.26000000,3195.31000000,3198.89000000,568.14210000,1768804499999,1816960.53946600,8027,226.73680000,725094.79577500,0
ETHUSDT,1768804500000,3198.89000000,3198.91000000,3188.00000000,3190.89000000,3024.23760000,1768804799999,9653425.64712900,11680,918.47220000,2930976.71039300,0
ETHUSDT,1768804800000,3190.89000000,3194.35000000,3190.89000000,3193.67000000,1101.42800000,1768805099999,3516093.83956000,8377,632.04600000,2017549.57062900,0
ETHUSDT,1768805100000,3193.67000000,3195.98000000,3192.09000000,3195.36000000,2502.41760000,1768805399999,7992792.41147000,8536,312.28720000,997421.32226700,0
ETHUSDT,1768805400000,3195.37000000,3195.75000000,3192.61000000,3193.45000000,545.19550000,1768805699999,1741565.59109200,7491,280.32560000,895423.41619400,0
